356	IFI30
357	C1D
358	OLFM1
359	TIMM17A
360	CDX1
361	N4BP2L2
362	ZER1
363	MCRS1
364	LRRN2
365	FAM3C
366	ACAA2
367	PPIE
368	CDX2
369	VAV3
370	TOMM40
371	TAB1
372	ECI2
373	HAX1
374	GPNMB
375	BAIAP2
376	MAD2L2
377	TACC3
378	CDX4
379	MERTK
380	CLEC10A
381	SLC30A9
382	PIBF1
383	PPIH
384	COG5
385	ZNHIT1
386	FST
387	TIMM44
388	PFDN6
389	CLGN
390	ZBTB18
391	HMGN4
392	TADA3
393	TRIM38
394	ATP5H
395	UBE2E3
396	SLC25A17
397	SLC9A6
398	EIF3M
399	HOXB13
400	NXF1
401	CEACAM5
402	SEC23B
403	SEC23A
404	CAP2
405	CAP1
406	CREB3
407	LRRC41
408	VTI1B
409	CRTAP
410	SYNCRIP
411	VAT1
412	STK25
413	ENOX2
414	UNC13B
415	CARM1
416	NCOA2
417	CEBPA
418	SEMA4F
419	SEMA4D
420	SEMA4B
421	ADARB2
422	CEBPB
423	APPBP2
424	MYBBP1A
425	FBLN5
426	CIB1
427	ZNF211
428	CEBPD
429	DDX17
430	DEAF1
431	CHERP
432	KAT5
433	HYOU1
434	IPO8
435	IPO7
436	NOP56
437	NEBL
438	CEBPE
439	PITRM1
440	ATG7
441	SSSCA1
442	RNASEH2A
443	LEPREL2
444	UBD
445	BATF
446	GLRX3
447	DCTN2
448	CEBPG
449	ANP32B
450	LAMTOR5
451	PROCR
452	TM9SF1
453	PRDX4
454	ARL6IP5
455	AGR2
456	ARPC1A
457	HTATIP2
458	AGPAT1
459	AGPAT2
460	RPP30
461	RPP38
462	SPTLC1
463	SLC35A1
464	SLC19A2
465	OLFM4
466	CXCL13
467	ARFGEF2
468	CEL
469	ARFGEF1
470	AKAP3
471	RABAC1
472	SLC34A2
473	SLU7
474	DPYSL4
475	SIVA1
476	MRPL28
477	CCT7
478	CCT4
479	CCT2
480	NPC2
481	GNLY
482	TACC2
483	SORBS1
484	CENPA
485	IFITM2
486	COLEC10
487	POMT1
488	MAB21L2
489	TXNRD2
490	MTHFS
491	DRAP1
492	SCGN
493	CENPB
494	DNPH1
495	SMC2
496	PRPF8
497	ERN2
498	TRAPPC2B
499	AHSA1
500	SLCO1B1
501	USP16
502	CENPC
503	CDC42EP3
504	SH2B2
505	PAIP1
506	PAICS
507	TBL3
508	MXD4
509	P3H4
510	PDLIM5
511	TRIM3
512	ERLIN1
513	HEXIM1
514	SPAG5
515	RBCK1
516	STAMBP
517	TGOLN2
518	ARID3B
519	CENPE
520	POLR3F
521	POLR3G
522	POLR3C
523	IVNS1ABP
524	TRIM16
525	MYL12A
526	TXNIP
527	TAF6L
528	CENPF
529	POSTN
530	ATP5L
531	RASL10A
532	GAS2L1
533	RAD51AP1
534	RGS14
535	EXOC5
536	NPRL2
537	IGF2BP1
538	IGF2BP3
539	IGF2BP2
540	CAMKK2
541	SCGB1D2
542	SCGB1D1
543	SLMO1
544	MTX2
545	YKT6
546	SPINT2
547	PMVK
