id,name,prob
12,SRA1,0.9999999813169312
437,NEBL,0.9999999942945771
489,TXNRD2,0.9999999821348168
515,RBCK1,0.9999999998221596
1000,CHRM2,0.9999999999529499
1413,DNAJC19,0.999999982870643
1511,CPT2,0.9999999991997143
1588,CRYAB,0.9999999976401045
1666,ADRA1D,0.9999999857099057
1693,ADRA1B,0.9999999999996674
1722,NKX2-5,0.9999999989982566
1733,ADRA1A,0.9999999999996331
1739,CTF1,0.9959943617594678
1807,CXADR,0.9999999893384943
1815,ADRB1,0.9999999999987068
1835,ADRB2,0.9999999999999699
1855,ADRB3,0.9999999459537239
1959,ACE,0.9999997988252193
2005,DES,0.9999999999663343
2070,DMD,0.9999999999896366
2128,DSC2,0.9999999978605191
2133,DSG2,0.9999999999730582
2137,DSP,0.9999999999958081
2141,DTNA,0.9999999999795188
2216,EGFR,0.9999999999999699
2291,EMD,0.9999999999996669
2376,EYA4,0.999999999777777
2390,ESR1,0.9999999999999699
2530,FKTN,0.9999998172273846
2586,FHL1,0.9999999995711174
2587,FHL2,0.9999999999616315
2619,DOLK,0.9999999858153925
2715,FOXD4,0.9999996255670522
2885,FLNC,0.9999999997541587
2924,SYNE2,0.9999999917277737
3012,SYNM,0.9273874259832362
3017,SYNE1,0.9999999622658443
3139,NNT,0.9999999998753292
3256,FXN,0.9999998218574134
3649,GATA4,0.9999999891415297
3674,GBE1,0.9999999461237169
3732,MSTN,0.9999999743327057
3788,GJA1,0.9999999968495641
3811,ACAD8,0.9999999920610215
3822,ANKRD1,0.9999999984255125
3860,HSPB7,0.999999965691992
3879,GLA,0.9999999999769108
3916,RBMXL2,0.9999999443130775
3924,PDLIM3,0.9999984650327804
3938,RBMX,0.9999999999586814
4186,ACAD9,0.999999999997072
4228,NR3C1,0.9999999999950598
4255,SLC25A4,0.9999999989500181
4376,GYG1,0.9999999884382315
4499,HFE,0.9999999844955104
4900,IL6,0.9999999999915639
4935,ILK,0.9999999999939517
4950,INS,0.9999999998903545
5031,JUP,0.9999999999992972
5206,LAMA2,0.999999994237996
5208,LAMA4,0.9999999994335173
5220,LAMP2,0.9999999999993053
5274,LMNA,0.9999999999999305
5507,NR3C2,0.9999999928769477
5635,MYBPC3,0.9999999798816842
5649,MYH6,0.9999999978742241
5650,MYH7,0.9999999891800109
5657,MYL2,0.9999999969883758
5658,MYL3,0.9999998210670349
5786,NFKB1,0.9999999999997861
5854,NPPA,0.9999999046047238
6343,PRKAG2,0.9999999961007653
6598,PGM1,0.9999999998841527
6663,PKP2,0.9999999998094076
6703,PLN,0.9999999764886045
6788,POLG,0.9999999754255254
6798,DPM3,0.999999938817096
6881,NDUFB11,0.9999999999756669
7599,AGK,0.9999999999356598
7866,PSEN1,0.999999999957581
7867,PSEN2,0.9999999993963831
8010,TBX20,0.9999996967034975
8143,PTGS2,0.999999902611939
8181,AARS2,0.9999999999484793
8200,MIB1,0.9999999796565003
8335,GATAD1,0.9999999730111816
8342,PTPN11,0.9999999999832505
8479,RAF1,0.9999999999841331
8596,RIT1,0.9999990192946111
8789,RYR2,0.9999942204721546
8838,SCN5A,0.9999999906541686
8884,SDHA,0.9999999999517559
9037,SGCA,0.9999999916550534
9048,SGCB,0.9999983756072407
9051,SGCD,0.9999960814515509
9291,SLC22A5,0.9999908397218926
9369,SOD1,0.9999999997966753
9376,SOS1,0.999999944109526
9578,TAZ,0.999999964212
9587,TBX5,0.999999635342462
9640,ACTC1,0.9999999998551468
9671,TGFB3,0.9999990325686244
9736,TMPO,0.9999999999996662
9751,TNNC1,0.994149592462257
9754,TNNI3,0.9965525687586758
9756,TNNT2,0.9939817600018519
9769,TP53,0.9999999999999699
9780,TPM1,0.9999999998059813
9840,TTN,0.9898118157049031
9843,TTR,0.9999999815107808
9949,VCL,0.9999999951122119
10004,XK,0.9999999919063586
10041,CNBP,0.9999999999984042
10106,ZBTB17,0.9999999704850584
10175,ALMS1,0.9999999998816407
10285,FKRP,0.9999999514658358
10310,TMEM43,0.9999999472522842
10701,CSRP3,0.9999993401194995
10832,CAMK2D,0.9999999999644268
11182,LTBP4,0.9999999727944427
11293,HOPX,0.9999997410660978
11331,MYPN,0.7891259846718519
11507,MYLK2,0.999999980187645
11550,TCAP,0.9999999651172078
11573,CAV3,0.9999999688965604
11574,TNFSF11,0.9999999991435108
11621,PDE5A,0.9999999832175779
11741,ACTN2,0.9999999999966762
12102,NEXN,0.9999999779713116
12117,IL1RL1,0.9999983844867731
12241,SHKBP1,0.9999994987584229
12487,BAG3,0.9999999999780492
12893,ABCC9,0.9999999739122677
12987,BEST1,0.9969893090447379
13487,LDB3,0.9999994918981414
13488,LEP,0.9999999983093522
13535,MT-CO3,0.9772757541071757
13537,MT-ND1,0.9999999961207436
13538,MT-ND2,0.9999996407329993
13547,MYOM1,0.9999999641116575
13549,MYOZ2,0.9944211144548042
13624,PLEC1,0.9999998686189624
13628,PLEKHM2,0.9999999809402954
13714,SGCG,0.9999983571554228
14912,FHOD3,0.9950906281533094
15252,JPH2,0.9968003884279683
15644,MT-ATP6,0.9999999795368325
15645,MT-ATP8,0.9999999291225424
15646,MT-CO1,0.9999999344015834
15647,MT-CO2,0.9999999485961717
15648,MT-CYB,0.9999999864046719
15655,MT-ND3,0.3677625536952737
15656,MT-ND4L,0.999999963117865
15657,MT-ND4,0.999989818280224
15658,MT-ND5,0.9999999864353479
15659,MT-ND6,0.993638707972567
16039,RBM20,0.9999999794950779
16853,FPGT-TNNI3K,0.8869502520962261
17494,PRDM16,0.9999999882919302
17785,XYLT1,0.9999999927293355
856,FGFR1OP,1.396786517045359e-05
15595,MLKL,0.0003175203297315368
2739,SPEN,2.5075140925409193e-05
4235,UBE2T,0.0003182474573085191
6344,POLK,0.00025557786058961373
10643,RUFY1,0.0003428665674265402
10837,TIGD6,0.00016724461799443336
18059,XIRP2,0.0002152900782501723
1437,SCLT1,7.95222947798908e-06
1653,MIPOL1,0.0033075663460237835
1657,CEP128,1.9950303177849934e-06
18060,XIRP1,0.00045263586701861105
2036,FAM9B,0.0010596204158394057
3051,ZDHHC17,5.120086441069853e-05
3355,NUTM1,0.0023756220056344772
7589,CARKD,0.0016796962241800958
9021,GMCL1,7.39060321692332e-06
9094,CCDC136,0.0029039863554409955
10669,MED28,7.394263112775636e-05
11263,LZTS2,0.002061789921734247
11316,ZGPAT,0.0011153086195543093
11335,TRIM55,4.666229149957242e-07
11336,TRIM63,1.0000000994736041e-07
12217,ZNF764,0.004310634824278463
1544,FOXR2,0.0006009297306297407
2776,NCOA6,3.149999896727662e-06
4332,CYP2S1,0.0001769976855807508
6109,NDUFA13,0.0004704456583022625
8031,PNPLA2,0.00018014189674142738
686,MALT1,0.0014712056835596017
1119,UHRF2,0.00022882190143801054
15843,OTUD6A,0.0020082740244405464
1731,UBE2U,0.00032636826798076464
2297,TRIM65,0.0006633023756156503
2828,TAB2,0.004603605591696916
3175,DDX58,0.00011667658815403504
3191,MKRN2,0.0018457243636760571
3361,TAB3,0.0007094688997509143
3427,USP49,0.0026178900954927087
3463,NDUFAF3,0.004320571050337048
3799,USP21,0.006063557192400771
3948,UBE2S,0.00016265083483936045
3953,RABGEF1,0.0017104144262930793
18092,TRIML1,0.0025651859360482374
6237,RNF181,0.0001563273724508572
6322,UCHL5,1.042967234503559e-05
6458,UBE2D4,0.0002858559123958379
7180,RNF31,3.205430816853576e-07
8060,SMURF1,8.364349158194583e-06
8910,FKBPL,0.00046970791522424105
8952,NOD2,0.008443901201535058
10203,OTUB2,0.0003843621470704555
10824,TSSK3,0.0012342503223531154
10853,SHARPIN,0.0008158641283419298
11333,USP32,0.0009476170734330599
11933,OTULIN,1.153459881704614e-05
12311,SYCE1,0.00024386176363120965
2261,ELAVL1,0.0008317208634627682
8970,SET,0.0018142750803578742
12663,GPRASP1,7.15812081385377e-05
1834,SLC2A12,0.006834588529611088
2505,SLC39A12,0.00048436011533802394
3351,MFSD8,0.004308331281619904
370,TOMM40,2.1095832632652286e-05
530,ATP5L,0.0023021017019886235
1101,PTPMT1,6.630459860998602e-05
1530,ATF6B,0.0026598337996159684
3570,ARHGEF26,0.002124303546583188
3836,UQCRQ,0.0008026611999244844
4001,GNAS,2.6476970908145606e-06
17973,C17orf89,0.004307808466692091
4481,HCCS,0.00303983298803327
4754,OXLD1,0.0008513902475116528
4757,ICT1,0.00026570458062485935
5419,MCL1,0.0001108590381747562
5712,NDUFA4,3.1324709062399704e-05
5738,NDUFS3,1.9692712163222976e-05
6124,SCCPDH,0.00022906518708753167
7104,TMEM70,0.0002360597898372346
7258,RNMTL1,0.0006611997510111629
7985,ADCK3,0.0012424765258652196
7997,COQ9,2.5965335967405786e-06
17033,MCUR1,0.0016118200287666797
10335,C2orf47,0.0033900623258442605
10859,FAHD1,0.004283175060539797
11256,C15orf48,0.0017314213483274835
18305,CASP12,0.0011117272171728525
124,G3BP1,1.263058122195255e-07
288,TFG,0.00020961437686154704
772,CCDC85B,0.0010451922502805152
941,DDX20,0.0006897460477325409
1037,ACOT7,0.0020026917702967956
1089,LENG8,0.00010546920942303294
15232,IQGAP3,0.0031355624239621767
16636,ASB5,0.0009773861277341332
1578,SMCR8,0.0015467570818204555
1589,CRYBA1,0.0007078658003068464
1594,CRYBB2,0.001241587432156772
1599,CRYGC,0.0014542192029748824
18304,CRYGD,0.001169834324942908
1606,CRYGS,0.0019110439777617716
1611,CS,0.0013005339898101076
1754,CTNNB1,0.0008908419930288414
2507,HNRNPUL2,0.002267951247577635
2513,FCGR2A,0.0006926827724346714
2525,RBM24,0.00014355767832780869
2561,FGF2,0.0011316015785134213
2740,FBXO21,0.00021711061982389635
3004,NEDD4L,1.3394619520447753e-06
3294,ADAM2,0.0011658835343607043
3678,HSPB8,7.289529689156626e-05
3745,GFAP,0.0003018905958352867
3878,PRELID1,0.0009637305892408914
4430,TNPO2,0.002618889166099536
4470,HBA1,0.00017353163547716868
4488,HDAC1,2.934184109535082e-07
4597,CCDC85C,0.0013356389665778235
4697,HSPA4,0.0005131501631939659
4705,HSPB1,4.0429485495675993e-07
4706,HSPB2,0.00251460861624159
15382,KRTAP8-1,0.0006150251361848892
15360,KRTAP19-5,0.0006701374234602856
5205,LALBA,0.0009130428246658181
5332,LYZ,2.400118865725578e-07
5347,SMAD4,1.3125553756943599e-07
5386,MAP1B,0.0007984068479954001
5394,MAS1,0.0012736417158775786
5433,MDH2,0.0005112438640371375
13518,MIP,0.00033326408095718984
5757,NEFL,5.122768117975718e-06
5800,NGF,0.0021281824695472532
5997,GEMIN4,0.0012451685948233092
6006,PARK2,2.696528463024445e-05
6107,FCF1,2.0738181753617992e-05
6439,TRIM33,0.0011143011323686144
6496,OAZ3,0.00013864528310454158
6645,PI4KA,0.0014380668461463212
17497,PRKAG3,0.0006454747281506789
7019,CC2D1A,0.00043089288140955243
7115,CLN6,3.494022967881837e-06
7407,PIDD1,0.0004594813289148538
7900,PSMA3,2.143371168983469e-06
8028,PSMD4,2.1431423041856696e-06
8041,GOPC,0.011823624902976032
8193,NYNRIN,0.0004812819405848376
8865,CCL22,0.00045080580275733395
8920,TRAPPC2,0.0004239256632540013
9188,MRPL11,0.0002620263220782618
9200,GPBP1,0.0008700174866787115
9209,VPS33A,0.0007843111275268408
9345,SNCA,0.004304686651279483
9374,SORD,0.000666389199145288
9882,UBE2D1,5.844648731480231e-07
9955,VEGFA,0.0008261446496728509
10255,TMEM109,0.0005176125072164071
10266,TRAPPC6A,0.0005854615650003255
15397,LBH,0.0006362509688068337
10812,FAM83D,0.0005352401958195627
10867,SEH1L,0.007473250775928211
10872,GDF5,0.0003514520173681667
11026,TRAPPC9,0.0005145149878328797
11224,NUDT16L1,0.0008388685720271326
11657,CDC23,0.0007059825306630717
11692,CRADD,8.407274597771411e-05
512,ERLIN1,0.09767078839491361
748,CKAP4,0.0020362988196750468
893,ERLIN2,0.004292767657557416
3746,AMFR,0.11357687432117528
8885,RNF123,4.737262909135353e-05
9362,SNTA1,1.1415242533127286e-07
9364,SNTB1,4.8793102831112507e-05
9367,SNTB2,0.00019898321154279648
9938,UTRN,6.951677502292366e-07
11349,LNX1,0.0005085971571981478
1180,AP2M1,0.008250675076557919
2418,ALB,0.0027004054648258236
11632,EIF3F,0.004997839608191594
2417,EWSR1,0.0007772671046165897
2764,FOXE1,9.621428675329928e-05
2833,CAMTA2,0.0006077717613890448
3647,FBXO25,0.0009251134397296393
4153,GRB2,1.2089084065608066e-05
4585,FOXA1,0.004586402427962241
4758,ID1,4.720928290606876e-05
4759,ID2,6.042821361742208e-05
4760,ID3,0.00041753387791547484
4860,RBPJ,3.5849355868707456e-05
5026,JARID2,1.5367762502574045e-05
5028,JUN,4.839422433967332e-05
9713,TLE1,0.0002052507011577618
9939,KDM6A,2.004605412966851e-05
2332,EP300,0.004989702487977632
5361,MAGEA6,0.014304244685711846
187,CTDSPL,0.0022109450170669175
18331,AMICA1,0.004316677173228216
2285,TMEM17,5.246180929478291e-05
2546,LNX2,0.0013816058699600226
6241,TMEM216,8.345935770194847e-05
8621,RNF4,1.0000000994736041e-07
13817,ACOT1,0.0020034302955283722
10210,VKORC1,0.004098063586583942
11081,CCDC8,2.92626533703068e-07
11302,TMEM185A,0.0029477747279061926
11615,NCOA1,1.0000000994736041e-07
