id,name,prob
12,SRA1,0.10545707368451265
437,NEBL,0.9999921371215555
489,TXNRD2,0.9909540422901223
515,RBCK1,0.9852953437268692
1000,CHRM2,0.2008562209172484
1413,DNAJC19,0.9962101321356553
1511,CPT2,0.9999992683757976
1588,CRYAB,0.9912713109866995
1666,ADRA1D,0.4296758915605421
1693,ADRA1B,0.5536072207185305
1722,NKX2-5,0.994163497347059
1733,ADRA1A,0.4243758973311079
1739,CTF1,0.8891013205170867
1807,CXADR,0.9923017226383339
1815,ADRB1,0.6349956930922459
1835,ADRB2,0.9791940275485944
1855,ADRB3,0.7155698506806057
1959,ACE,0.9773713444783493
2005,DES,0.9870933275049386
2070,DMD,0.884772441868834
2128,DSC2,0.6874627696088252
2133,DSG2,0.9754589081801507
2137,DSP,0.991065371445985
2141,DTNA,0.9725473232728885
2216,EGFR,0.9999847116512046
2291,EMD,0.9999878135817063
2376,EYA4,0.9535622979616067
2390,ESR1,0.9999932180999338
2530,FKTN,0.9430407048630685
2586,FHL1,0.9840839286438445
2587,FHL2,0.9923927852682966
2619,DOLK,0.9849494143911799
2715,FOXD4,0.9999995357671687
2885,FLNC,0.9929151122722516
2924,SYNE2,0.9452023600860997
3012,SYNM,0.9469834058558815
3017,SYNE1,0.912402527430213
3139,NNT,0.999997547203418
3256,FXN,0.9668718065430285
3649,GATA4,0.9134787813513978
3674,GBE1,0.8341479899483916
3732,MSTN,0.9823239208275579
3788,GJA1,0.9893179242322384
3811,ACAD8,0.9940234273806728
3822,ANKRD1,0.9965076532427687
3860,HSPB7,0.5218214348677568
3879,GLA,0.9999810523648579
3916,RBMXL2,0.7055102165397716
3924,PDLIM3,0.42658654171221294
3938,RBMX,0.9999994706445938
4186,ACAD9,0.9859940896232801
4228,NR3C1,0.9803145160491326
4255,SLC25A4,0.987079471494732
4376,GYG1,0.9873728019936145
4499,HFE,0.9812344848597778
4900,IL6,0.8275389182397201
4935,ILK,0.9999985827625373
4950,INS,0.9958676170148613
5031,JUP,0.9942655670627667
5206,LAMA2,0.9814583847952706
5208,LAMA4,0.9932274467092757
5220,LAMP2,0.9959052201399046
5274,LMNA,0.9749776948909087
5507,NR3C2,0.9969662520938543
5635,MYBPC3,0.7300507224794313
5649,MYH6,0.8937054881471088
5650,MYH7,0.9436047081831161
5657,MYL2,0.47720617995907827
5658,MYL3,0.9800298706598888
5786,NFKB1,0.9961679820581619
5854,NPPA,0.9872692607730261
6343,PRKAG2,0.9621568568171851
6598,PGM1,0.9999983700131291
6663,PKP2,0.9914915439620348
6703,PLN,0.9941224415160917
6788,POLG,0.9961146490424081
6798,DPM3,0.9999857330593025
6881,NDUFB11,0.9881353218288597
7599,AGK,0.9967820477807309
7866,PSEN1,0.9155468454035711
7867,PSEN2,0.9652451094086552
8010,TBX20,0.7475621318131
8143,PTGS2,0.9691079698332968
8181,AARS2,0.9999990484468342
8200,MIB1,0.9682694761514477
8335,GATAD1,0.9999850066817367
8342,PTPN11,0.9353885224943246
8479,RAF1,0.9861339054472279
8596,RIT1,0.999998984330772
8789,RYR2,0.8936179981085529
8838,SCN5A,0.8122378182205501
8884,SDHA,0.9964089702470514
9037,SGCA,0.8462450975661989
